pulse_rate,rr_interval,pulse_amplitude,pulse_variability,dosha_label
63.95,0.93,1.4,1.01,Vata
76.59,0.89,1.08,1.43,Vata
77.5,0.79,1.16,1.18,Vata
82.77,0.68,1.98,0.75,Pitta
81.12,0.78,1.62,0.69,Kapha
62.83,0.83,1.38,1.32,Vata
96.33,0.66,1.61,0.35,Pitta
64.47,0.83,2.01,0.51,Kapha
57.45,1.06,1.68,0.85,Kapha
81.03,0.77,1.47,1.35,Vata
64.42,1.02,2.01,0.72,Kapha
71.81,0.86,1.44,1.6,Vata
91.87,0.74,1.65,0.48,Pitta
85.68,0.79,1.8,0.31,Pitta
82.7,0.74,1.51,0.78,Vata
66.33,0.88,0.79,1.39,Vata
68.12,0.92,2.03,0.77,Kapha
96.29,0.61,1.88,0.29,Pitta
85.02,0.68,1.51,0.75,Pitta
68.53,0.91,1.64,0.43,Kapha
79.52,0.66,2.13,0.54,Kapha
67.93,0.88,1.31,1.32,Vata
87.56,0.75,1.81,0.62,Pitta
72.6,0.94,1.48,0.98,Vata
98.03,0.81,1.83,0.25,Pitta
62.76,0.93,1.3,1.34,Vata
67.64,0.9,2.01,0.58,Kapha
79.95,0.79,1.15,0.61,Pitta
65.56,0.86,1.77,0.55,Kapha
84.02,0.66,1.81,1.1,Pitta
68.02,0.91,2.52,0.1,Kapha
79.81,0.67,1.42,0.53,Pitta
66.38,0.9,0.98,1.06,Vata
80.61,0.75,0.62,1.23,Vata
74.13,0.82,1.95,0.86,Kapha
65.69,1.01,2.29,0.62,Kapha
82.57,0.74,1.93,0.99,Kapha
91.73,0.65,1.63,0.84,Pitta
96.52,0.81,1.65,0.63,Pitta
85.36,0.76,1.58,0.3,Pitta
78.75,0.89,1.18,0.83,Vata
79.69,0.73,1.04,1.36,Vata
74.38,0.77,1.38,1.27,Vata
62.45,0.97,2.28,0.5,Kapha
73.71,0.88,1.29,0.69,Pitta
76.61,0.86,1.43,1.14,Vata
64.48,0.98,1.71,1.01,Kapha
75.29,0.91,1.29,1.35,Vata
92.79,0.63,2.21,0.32,Pitta
72.58,0.89,1.53,1.26,Vata
66.01,0.8,1.79,1.59,Vata
87.4,0.72,1.42,0.65,Pitta
55.46,1.02,1.15,1.14,Vata
83.74,0.85,1.16,1.11,Vata
69.14,0.93,1.06,1.35,Vata
87.57,0.51,1.18,0.93,Pitta
76.97,0.72,1.52,1.2,Vata
81.88,0.72,1.89,0.8,Pitta
55.0,1.07,1.75,0.82,Kapha
55.0,1.05,1.91,0.87,Kapha
71.7,0.86,1.52,0.59,Kapha
61.05,0.89,1.74,0.52,Kapha
61.18,0.99,1.72,0.55,Kapha
80.47,0.71,1.52,1.19,Vata
85.83,0.89,0.79,0.52,Pitta
90.64,0.82,1.51,0.71,Pitta
65.24,0.9,1.36,0.61,Kapha
67.7,0.91,1.75,1.34,Kapha
59.32,1.11,1.89,0.73,Kapha
75.31,0.73,2.63,0.58,Kapha
72.7,0.73,1.6,1.02,Vata
91.84,0.68,1.48,0.45,Pitta
68.52,0.93,1.88,0.68,Kapha
60.4,1.16,1.87,0.84,Kapha
65.24,0.82,1.99,0.97,Kapha
61.97,0.95,2.15,0.51,Kapha
89.91,0.74,1.04,0.45,Pitta
56.79,0.89,2.21,0.72,Kapha
71.19,0.84,1.68,0.69,Kapha
79.45,0.56,1.86,0.7,Pitta
82.82,0.77,2.42,0.43,Kapha
81.22,0.68,1.03,0.57,Pitta
66.07,0.96,1.45,1.07,Vata
71.76,0.79,2.1,0.5,Kapha
95.92,0.56,1.52,0.55,Pitta
66.3,0.88,1.73,0.8,Pitta
69.18,0.92,1.22,1.38,Vata
60.34,1.04,2.06,1.14,Kapha
66.96,0.95,1.39,1.05,Vata
58.8,1.01,2.24,0.93,Kapha
81.52,0.76,1.39,0.52,Pitta
76.2,0.77,1.73,1.01,Kapha
84.57,0.7,1.59,0.79,Pitta
58.53,0.96,1.87,0.49,Kapha
70.7,0.79,2.03,0.55,Kapha
55.55,1.02,0.54,1.59,Vata
70.2,0.97,1.79,0.84,Kapha
55.71,1.12,2.08,0.54,Kapha
84.65,0.74,1.3,1.24,Vata
95.35,0.66,1.72,0.12,Pitta
82.45,0.59,1.5,0.67,Pitta
60.42,0.93,2.15,0.9,Kapha
55.0,1.07,2.28,0.91,Kapha
93.94,0.54,1.23,0.71,Pitta
71.9,0.87,0.9,1.37,Vata
61.18,1.04,2.06,0.47,Kapha
84.72,0.64,1.74,0.64,Pitta
87.33,0.6,1.47,0.94,Pitta
81.71,0.77,1.32,1.42,Vata
103.28,0.63,1.59,0.71,Pitta
96.79,0.52,1.24,0.73,Pitta
68.62,0.96,1.48,0.92,Vata
55.0,1.13,1.8,0.44,Kapha
83.87,0.73,1.68,0.5,Kapha
84.33,0.69,1.7,0.5,Pitta
91.61,0.63,1.12,0.27,Pitta
87.16,0.71,1.38,0.38,Pitta
84.29,0.75,1.68,0.52,Pitta
55.0,1.07,2.11,1.13,Kapha
71.72,0.81,2.18,0.79,Kapha
78.03,0.84,1.66,1.03,Kapha
87.22,0.67,1.67,0.52,Pitta
65.24,1.05,1.64,0.74,Kapha
84.67,0.66,2.35,0.83,Kapha
90.95,0.68,1.17,1.01,Pitta
71.1,0.8,1.85,0.56,Kapha
92.9,0.71,1.34,0.53,Pitta
70.73,0.88,1.9,0.54,Kapha
91.5,0.63,1.55,0.85,Pitta
55.0,1.01,1.66,1.06,Kapha
77.64,0.8,0.81,1.41,Vata
71.31,0.8,1.42,1.28,Vata
61.22,0.99,1.7,1.15,Kapha
58.72,1.06,1.36,0.92,Vata
84.92,0.63,1.44,1.1,Pitta
81.96,0.65,1.36,1.26,Vata
79.69,0.75,1.36,0.64,Pitta
74.57,0.81,1.27,1.28,Vata
85.59,0.81,1.55,0.6,Pitta
63.47,1.0,1.8,0.73,Kapha
60.7,1.01,1.72,0.42,Kapha
66.21,0.95,1.78,0.84,Kapha
55.0,1.1,2.55,0.66,Kapha
65.61,0.81,2.08,0.49,Kapha
75.01,0.68,1.3,1.25,Vata
89.83,0.72,1.55,0.62,Pitta
84.49,0.63,1.05,1.21,Vata
61.84,0.88,2.1,0.66,Kapha
80.83,0.7,1.94,0.38,Pitta
56.05,1.13,1.84,0.81,Kapha
93.91,0.61,1.36,0.86,Pitta
83.04,0.85,1.72,0.68,Pitta
64.05,0.99,2.28,0.38,Kapha
70.74,0.9,1.29,1.14,Vata
92.5,0.67,2.01,0.22,Pitta
55.0,1.14,1.99,0.79,Kapha
88.89,0.79,1.89,0.34,Pitta
69.6,0.87,1.83,0.7,Kapha
62.7,0.91,2.07,0.68,Kapha
59.56,1.1,1.54,1.24,Vata
77.96,0.72,1.29,0.89,Vata
68.41,0.9,1.77,0.74,Kapha
91.76,0.57,1.6,1.03,Pitta
71.25,0.75,2.08,0.84,Kapha
96.41,0.61,1.4,0.52,Pitta
57.87,1.04,1.89,0.28,Kapha
95.84,0.58,1.91,0.54,Pitta
71.17,0.82,1.96,1.17,Kapha
55.0,1.13,1.86,0.79,Kapha
56.13,1.12,1.28,1.24,Vata
73.32,0.79,1.71,0.98,Kapha
59.24,1.1,2.48,0.47,Kapha
88.39,0.73,1.94,0.45,Pitta
95.89,0.62,1.22,0.63,Pitta
82.25,0.71,1.59,0.47,Pitta
63.67,0.96,1.02,0.89,Vata
60.93,1.02,1.87,1.05,Vata
72.15,0.85,2.03,1.15,Kapha
55.0,1.16,2.29,0.66,Kapha
92.56,0.75,0.14,1.37,Vata
76.54,0.9,1.13,1.67,Vata
78.82,0.66,1.1,1.38,Vata
56.59,0.96,1.68,1.0,Kapha
67.14,0.85,1.72,0.92,Vata
105.15,0.62,1.67,0.98,Pitta
63.94,0.95,2.07,0.68,Kapha
91.41,0.7,2.04,0.33,Pitta
60.45,0.95,1.12,1.55,Vata
70.73,0.82,1.52,0.72,Pitta
80.31,0.7,2.19,0.61,Kapha
92.29,0.55,2.27,0.62,Pitta
89.41,0.59,1.25,0.57,Pitta
72.2,0.82,1.47,1.07,Pitta
69.65,0.94,1.7,0.87,Vata
68.86,0.93,1.45,1.38,Vata
82.13,0.74,2.27,0.85,Pitta
82.87,0.73,1.7,0.37,Pitta
67.56,0.86,1.32,1.46,Vata
55.62,1.06,1.93,0.13,Kapha
88.07,0.74,1.76,0.96,Pitta
58.04,1.02,1.93,0.9,Kapha
55.7,1.11,2.28,0.31,Kapha
68.91,0.85,1.31,1.03,Vata
63.31,0.85,2.05,0.67,Kapha
77.54,0.66,1.7,1.24,Vata
85.67,0.78,1.44,1.19,Vata
74.37,0.87,1.22,1.61,Vata
93.94,0.47,1.85,0.73,Pitta
77.36,0.81,1.47,0.5,Pitta
74.11,0.78,1.36,1.29,Vata
68.42,0.87,1.96,1.03,Kapha
80.56,0.71,1.32,1.09,Vata
55.0,1.19,2.49,1.06,Kapha
76.48,0.81,1.05,1.68,Vata
81.7,0.82,1.96,1.01,Kapha
90.81,0.57,1.7,0.78,Pitta
82.24,0.73,2.14,0.46,Kapha
61.56,1.0,1.99,0.83,Kapha
69.14,0.82,1.9,0.73,Kapha
71.39,0.88,1.12,1.06,Vata
68.14,0.86,1.66,0.57,Kapha
59.85,1.02,1.22,1.26,Vata
59.76,1.01,1.72,1.12,Kapha
84.85,0.8,1.53,0.15,Pitta
92.72,0.67,1.93,0.71,Pitta
63.45,0.92,2.49,0.9,Kapha
59.06,1.02,2.3,1.09,Kapha
58.44,1.07,2.36,1.0,Kapha
62.84,0.86,1.16,1.33,Vata
66.61,0.9,1.04,0.76,Vata
70.21,0.77,1.78,1.59,Vata
105.52,0.56,1.58,0.38,Pitta
67.46,1.06,2.36,0.28,Kapha
85.11,0.54,1.27,0.49,Pitta
63.26,0.98,1.58,0.87,Kapha
84.8,0.67,1.37,0.83,Pitta
74.56,0.79,1.91,1.06,Kapha
77.83,0.77,1.98,0.51,Kapha
77.46,0.92,1.39,1.37,Vata
77.61,0.83,1.88,0.83,Pitta
86.99,0.66,1.94,0.4,Pitta
71.11,0.76,1.41,1.59,Vata
74.52,0.71,2.45,0.84,Kapha
66.05,1.02,2.04,0.71,Kapha
93.11,0.7,1.86,0.5,Pitta
80.55,0.77,1.62,0.94,Vata
73.92,0.8,0.93,1.04,Vata
75.22,0.66,1.39,1.49,Vata
70.03,1.02,2.36,0.98,Kapha
88.09,0.7,1.7,0.64,Pitta
82.08,0.69,2.0,0.77,Pitta
88.41,0.8,1.47,0.69,Pitta
79.95,0.81,1.8,0.51,Pitta
62.55,0.9,1.01,1.64,Vata
88.47,0.71,1.68,0.7,Pitta
61.46,0.96,1.83,0.9,Kapha
86.75,0.71,1.41,0.75,Pitta
96.33,0.57,1.68,0.82,Pitta
71.04,0.76,2.12,0.84,Kapha
73.47,0.82,1.01,1.4,Vata
66.49,0.99,0.87,1.01,Vata
77.1,0.81,1.47,0.82,Vata
90.97,0.73,1.47,0.22,Pitta
78.65,0.81,1.21,0.39,Pitta
69.06,0.76,1.11,1.28,Vata
69.21,0.91,1.42,1.11,Vata
57.7,1.0,1.34,1.01,Kapha
75.27,0.94,1.67,0.3,Kapha
87.61,0.74,1.41,0.32,Pitta
58.99,0.93,2.66,0.81,Kapha
82.46,0.7,1.45,1.04,Pitta
61.11,1.0,2.01,0.63,Kapha
86.17,0.74,1.25,0.61,Pitta
64.24,0.9,1.79,0.48,Kapha
73.26,0.65,1.05,0.77,Vata
75.73,0.7,1.62,0.46,Pitta
58.22,1.02,1.83,1.0,Kapha
74.44,0.8,1.72,0.57,Pitta
83.64,0.73,1.69,0.39,Kapha
72.26,0.78,1.22,0.67,Vata
60.7,0.9,2.04,0.26,Kapha
71.49,0.85,1.82,0.79,Kapha
91.5,0.7,1.67,0.9,Pitta
60.87,1.06,1.41,0.73,Kapha
74.96,0.72,1.28,0.7,Pitta
69.79,0.81,0.83,1.56,Vata
75.36,0.79,1.69,0.7,Pitta
91.86,0.76,1.16,0.7,Pitta
62.06,1.02,1.83,0.35,Kapha
55.0,1.04,2.0,0.74,Kapha
77.62,0.77,1.12,1.11,Vata
64.09,0.85,1.21,0.93,Vata
73.31,0.71,1.13,1.91,Vata
90.85,0.61,0.93,0.32,Pitta
62.75,0.97,0.99,1.05,Vata
74.82,0.78,0.99,1.29,Vata
65.96,0.9,1.87,0.43,Kapha
80.13,0.69,1.69,1.48,Vata
80.23,0.69,1.1,0.68,Pitta
65.27,0.92,1.6,0.91,Kapha
83.63,0.83,1.12,0.41,Pitta
82.1,0.72,1.45,0.07,Pitta
82.82,0.81,0.94,0.63,Pitta
65.22,1.03,1.8,0.42,Kapha
66.45,0.8,1.0,1.3,Vata
80.57,0.83,1.65,0.37,Pitta
67.47,0.96,1.21,1.11,Vata
78.89,0.85,0.98,0.32,Pitta
72.52,0.8,2.07,0.77,Kapha
64.59,0.9,1.18,1.35,Vata
90.54,0.64,1.19,0.33,Pitta
78.12,0.93,1.5,1.37,Vata
89.68,0.59,1.82,0.52,Pitta
66.71,0.82,1.12,1.18,Vata
85.8,0.62,0.82,1.42,Vata
82.93,0.83,1.22,0.37,Pitta
80.79,0.82,1.02,0.82,Vata
86.4,0.64,1.49,0.65,Pitta
63.51,0.92,1.82,0.75,Vata
62.64,0.81,2.06,0.79,Kapha
74.28,0.68,1.61,1.22,Vata
65.15,0.84,1.32,0.97,Vata
81.75,0.66,1.41,0.95,Vata
65.75,0.85,1.86,0.87,Kapha
100.96,0.6,2.11,0.44,Pitta
65.65,0.92,1.5,0.99,Vata
